school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,positive,weights
GP,M,16.0,U,LE3,T,4.0,3.0,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12.0,12.0,12.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12.0,13.0,14.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,4.0,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11.0,12.0,12.0,True,0.0037593984962406013
GP,M,16.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12.0,13.0,14.0,True,0.0037593984962406013
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10.0,10.0,10.0,True,0.0037593984962406013
GP,F,15.0,R,GT3,T,2.0,4.0,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10.0,11.0,10.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,2.0,2.0,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10.0,11.0,12.0,True,0.0026109660574412533
GP,M,15.0,U,GT3,T,2.0,2.0,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11.0,12.0,12.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,2.0,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11.0,11.0,11.0,True,0.0037593984962406013
GP,M,16.0,U,LE3,A,3.0,4.0,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12.0,12.0,13.0,True,0.0037593984962406013
GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12.0,11.0,12.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,4.0,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10.0,11.0,11.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15.0,15.0,15.0,True,0.0037593984962406013
GP,M,15.0,R,GT3,T,4.0,3.0,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13.0,14.0,15.0,True,0.0037593984962406013
GP,M,15.0,U,LE3,T,3.0,3.0,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13.0,12.0,12.0,True,0.0037593984962406013
GP,M,16.0,U,GT3,T,3.0,2.0,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12.0,12.0,12.0,True,0.0037593984962406013
GP,F,15.0,U,GT3,T,2.0,3.0,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11.0,11.0,11.0,True,0.0026109660574412533
GP,M,15.0,U,LE3,T,4.0,3.0,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14.0,14.0,14.0,True,0.0037593984962406013
GP,M,16.0,R,GT3,A,4.0,4.0,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13.0,13.0,13.0,True,0.0037593984962406013
GP,F,15.0,R,GT3,T,3.0,4.0,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11.0,12.0,12.0,True,0.0026109660574412533
GP,F,15.0,R,GT3,T,2.0,2.0,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14.0,13.0,12.0,True,0.0026109660574412533
GP,F,16.0,U,LE3,T,2.0,2.0,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11.0,11.0,10.0,True,0.0026109660574412533
GP,M,15.0,U,LE3,T,4.0,4.0,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10.0,11.0,11.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,4.0,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14.0,15.0,15.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,2.0,2.0,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9.0,10.0,10.0,True,0.0037593984962406013
GP,F,16.0,U,LE3,T,2.0,2.0,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10.0,11.0,11.0,True,0.0026109660574412533
GP,F,15.0,U,LE3,A,4.0,3.0,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10.0,11.0,11.0,True,0.0026109660574412533
GP,F,16.0,U,LE3,A,3.0,3.0,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13.0,12.0,13.0,True,0.0026109660574412533
GP,M,16.0,U,GT3,T,4.0,3.0,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17.0,17.0,17.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,2.0,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11.0,12.0,13.0,True,0.0037593984962406013
GP,F,15.0,U,GT3,T,4.0,4.0,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13.0,12.0,12.0,True,0.0026109660574412533
GP,F,16.0,U,LE3,T,2.0,2.0,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14.0,13.0,13.0,True,0.0026109660574412533
GP,F,15.0,U,LE3,T,4.0,2.0,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16.0,14.0,16.0,True,0.0026109660574412533
GP,M,15.0,U,LE3,A,4.0,2.0,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10.0,9.0,9.0,False,0.0037593984962406013
GP,F,15.0,U,GT3,T,4.0,4.0,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13.0,12.0,12.0,True,0.0026109660574412533
GP,F,15.0,U,LE3,A,3.0,3.0,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13.0,12.0,13.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,A,2.0,1.0,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12.0,13.0,12.0,True,0.0026109660574412533
GP,F,15.0,U,GT3,A,4.0,3.0,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15.0,14.0,15.0,True,0.0026109660574412533
GP,M,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15.0,15.0,16.0,True,0.0037593984962406013
GP,M,15.0,U,LE3,T,1.0,2.0,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14.0,13.0,14.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,T,4.0,2.0,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16.0,15.0,16.0,True,0.0026109660574412533
GP,F,16.0,R,GT3,T,4.0,4.0,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17.0,16.0,16.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,1.0,1.0,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10.0,10.0,16.0,True,0.0026109660574412533
GP,F,16.0,U,LE3,T,1.0,2.0,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13.0,13.0,10.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,4.0,3.0,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14.0,13.0,13.0,True,0.0026109660574412533
GP,F,15.0,U,LE3,T,4.0,3.0,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13.0,12.0,12.0,True,0.0026109660574412533
GP,F,16.0,U,LE3,T,4.0,3.0,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16.0,15.0,16.0,True,0.0026109660574412533
GP,M,15.0,U,GT3,A,4.0,4.0,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11.0,12.0,12.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,T,3.0,1.0,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10.0,9.0,10.0,True,0.0026109660574412533
GP,F,15.0,R,LE3,T,2.0,2.0,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11.0,10.0,11.0,True,0.0026109660574412533
GP,F,15.0,R,LE3,T,3.0,1.0,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15.0,15.0,15.0,True,0.0026109660574412533
GP,M,16.0,U,GT3,T,3.0,1.0,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13.0,11.0,11.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,2.0,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11.0,9.0,10.0,True,0.0037593984962406013
GP,F,15.0,R,GT3,T,1.0,1.0,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13.0,11.0,11.0,True,0.0026109660574412533
GP,M,16.0,U,GT3,T,3.0,1.0,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13.0,13.0,14.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,T,3.0,3.0,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11.0,11.0,11.0,True,0.0026109660574412533
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11.0,11.0,11.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,0.0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12.0,11.0,11.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,T,2.0,2.0,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13.0,13.0,13.0,True,0.0026109660574412533
GP,M,17.0,U,GT3,T,2.0,1.0,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9.0,9.0,10.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,T,3.0,4.0,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12.0,11.0,11.0,True,0.0026109660574412533
GP,M,15.0,U,GT3,T,2.0,3.0,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11.0,11.0,12.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,2.0,3.0,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10.0,9.0,9.0,False,0.0037593984962406013
GP,F,15.0,U,LE3,T,3.0,2.0,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12.0,11.0,11.0,True,0.0026109660574412533
GP,M,15.0,U,LE3,T,2.0,2.0,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13.0,12.0,13.0,True,0.0037593984962406013
GP,F,15.0,U,GT3,T,1.0,1.0,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13.0,12.0,12.0,True,0.0026109660574412533
GP,F,15.0,U,GT3,T,4.0,4.0,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12.0,11.0,12.0,True,0.0026109660574412533
GP,F,16.0,U,LE3,T,2.0,2.0,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,6,13.0,11.0,11.0,True,0.0026109660574412533
GP,F,15.0,U,GT3,T,4.0,2.0,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15.0,15.0,15.0,True,0.0026109660574412533
GP,M,16.0,U,GT3,T,2.0,2.0,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12.0,10.0,11.0,True,0.0037593984962406013
GP,M,16.0,U,LE3,A,4.0,4.0,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9.0,9.0,10.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,2,9.0,11.0,11.0,True,0.0026109660574412533
GP,F,15.0,U,GT3,T,4.0,3.0,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,6,14.0,13.0,13.0,True,0.0026109660574412533
GP,F,16.0,U,LE3,T,3.0,1.0,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0,12.0,13.0,12.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,4.0,2.0,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13.0,14.0,14.0,True,0.0026109660574412533
GP,M,15.0,U,LE3,T,2.0,2.0,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,2,11.0,12.0,12.0,True,0.0037593984962406013
GP,F,15.0,R,GT3,T,1.0,1.0,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13.0,13.0,13.0,True,0.0026109660574412533
GP,M,16.0,R,GT3,T,4.0,3.0,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,6,9.0,11.0,11.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,T,2.0,1.0,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,0,13.0,12.0,12.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,4.0,4.0,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,12.0,13.0,13.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,4.0,3.0,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2,12.0,13.0,13.0,True,0.0026109660574412533
GP,M,16.0,U,GT3,T,4.0,4.0,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,12,9.0,9.0,8.0,False,0.0037593984962406013
GP,M,16.0,U,GT3,T,4.0,4.0,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16.0,16.0,16.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,4.0,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12.0,13.0,12.0,True,0.0037593984962406013
GP,F,15.0,U,GT3,T,3.0,2.0,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,16,11.0,10.0,10.0,True,0.0026109660574412533
GP,M,15.0,U,GT3,A,3.0,4.0,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16.0,16.0,16.0,True,0.0037593984962406013
GP,F,15.0,U,GT3,A,3.0,3.0,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10.0,10.0,10.0,True,0.0026109660574412533
GP,F,15.0,U,GT3,T,2.0,2.0,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,4,10.0,10.0,10.0,True,0.0026109660574412533
GP,M,16.0,U,GT3,T,3.0,3.0,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13.0,14.0,14.0,True,0.0037593984962406013
GP,M,15.0,R,GT3,T,4.0,4.0,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,8,12.0,10.0,11.0,True,0.0037593984962406013
GP,F,16.0,U,LE3,T,4.0,4.0,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,2,15.0,15.0,14.0,True,0.0026109660574412533
GP,M,15.0,U,LE3,A,4.0,4.0,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,4,13.0,14.0,14.0,True,0.0037593984962406013
GP,F,16.0,R,GT3,T,3.0,3.0,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,4,11.0,11.0,11.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,2.0,2.0,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,12,8.0,10.0,10.0,True,0.0026109660574412533
GP,M,15.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18.0,17.0,18.0,True,0.0037593984962406013
GP,M,15.0,R,GT3,T,2.0,1.0,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,4,10.0,9.0,10.0,True,0.0037593984962406013
GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,6,16.0,14.0,14.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,4.0,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,4,16.0,15.0,16.0,True,0.0037593984962406013
GP,M,16.0,U,GT3,T,3.0,3.0,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,6,14.0,14.0,15.0,True,0.0037593984962406013
GP,M,17.0,R,GT3,T,1.0,3.0,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,14,12.0,11.0,11.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,3.0,4.0,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,2,14.0,13.0,14.0,True,0.0037593984962406013
GP,F,15.0,U,GT3,T,1.0,2.0,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,14.0,14.0,14.0,True,0.0026109660574412533
GP,M,15.0,U,GT3,T,2.0,2.0,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,6,14.0,13.0,13.0,True,0.0037593984962406013
GP,F,16.0,U,LE3,T,2.0,4.0,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,14.0,12.0,13.0,True,0.0026109660574412533
GP,M,16.0,U,GT3,T,4.0,4.0,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,4,12.0,13.0,13.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,T,2.0,2.0,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,12.0,11.0,11.0,True,0.0026109660574412533
GP,M,15.0,U,GT3,T,3.0,4.0,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,2,9.0,9.0,9.0,False,0.0037593984962406013
GP,F,15.0,U,LE3,A,3.0,4.0,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,10.0,11.0,11.0,True,0.0026109660574412533
GP,F,19.0,U,GT3,T,0.0,1.0,at_home,other,course,other,1,2,2,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,0,9.0,10.0,11.0,True,0.0026109660574412533
GP,M,16.0,R,GT3,T,4.0,4.0,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,14.0,14.0,15.0,True,0.0037593984962406013
GP,M,16.0,U,GT3,T,2.0,3.0,other,other,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,3,2,3,2,2,1,4,13.0,12.0,13.0,True,0.0037593984962406013
GP,F,15.0,R,GT3,T,3.0,4.0,services,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,10.0,11.0,12.0,True,0.0026109660574412533
GP,F,18.0,U,GT3,T,2.0,1.0,services,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,5,4,5,1,3,5,10,10.0,9.0,8.0,False,0.0026109660574412533
GP,F,17.0,U,LE3,A,2.0,1.0,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,2,5,8,11.0,10.0,11.0,True,0.0026109660574412533
GP,F,15.0,U,GT3,T,1.0,1.0,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,6,11.0,12.0,13.0,True,0.0026109660574412533
GP,F,17.0,U,LE3,T,2.0,2.0,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,2,13.0,12.0,12.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,A,3.0,4.0,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,12,15.0,13.0,14.0,True,0.0026109660574412533
GP,M,16.0,U,GT3,T,2.0,1.0,at_home,other,course,mother,4,1,0,no,no,no,no,yes,yes,no,no,3,2,1,1,1,2,4,9.0,9.0,11.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,A,2.0,2.0,other,other,home,mother,1,1,1,no,no,no,no,yes,yes,no,no,5,3,4,1,1,5,12,13.0,11.0,11.0,True,0.0026109660574412533
